symbol,localsymbol,osid,tradedate,previoustradedate,close
REL.IN,RELIANCE,3023127,19980105,,172.45
REL.IN,RELIANCE,3023127,19980106,19980105,171.05
REL.IN,RELIANCE,3023127,19980107,19980106,172.75
REL.IN,RELIANCE,3023127,19980108,19980107,168.3
REL.IN,RELIANCE,3023127,19980109,19980108,164
REL.IN,RELIANCE,3023127,19980112,19980109,156.4
REL.IN,RELIANCE,3023127,19980113,19980112,157.9
REL.IN,RELIANCE,3023127,19980114,19980113,154.85
REL.IN,RELIANCE,3023127,19980115,19980114,156.4
REL.IN,RELIANCE,3023127,19980116,19980115,157.2
REL.IN,RELIANCE,3023127,19980119,19980116,161.05
REL.IN,RELIANCE,3023127,19980120,19980119,158.4
REL.IN,RELIANCE,3023127,19980121,19980120,158.8
REL.IN,RELIANCE,3023127,19980122,19980121,155.95
REL.IN,RELIANCE,3023127,19980123,19980122,154.4
REL.IN,RELIANCE,3023127,19980127,19980123,151.5
REL.IN,RELIANCE,3023127,19980128,19980127,148.2
REL.IN,RELIANCE,3023127,19980129,19980128,149.7
REL.IN,RELIANCE,3023127,19980130,19980129,154.2
REL.IN,RELIANCE,3023127,19980202,19980130,156.75
REL.IN,RELIANCE,3023127,19980203,19980202,159.15
REL.IN,RELIANCE,3023127,19980204,19980203,154.3
REL.IN,RELIANCE,3023127,19980205,19980204,156.15
REL.IN,RELIANCE,3023127,19980206,19980205,156.4
REL.IN,RELIANCE,3023127,19980209,19980206,158.05
REL.IN,RELIANCE,3023127,19980210,19980209,157.35
REL.IN,RELIANCE,3023127,19980211,19980210,152.5
REL.IN,RELIANCE,3023127,19980212,19980211,149.25
REL.IN,RELIANCE,3023127,19980213,19980212,150.85
REL.IN,RELIANCE,3023127,19980216,19980213,150.85
REL.IN,RELIANCE,3023127,19980217,19980216,151.3
REL.IN,RELIANCE,3023127,19980218,19980217,150.1
REL.IN,RELIANCE,3023127,19980219,19980218,152.8
REL.IN,RELIANCE,3023127,19980220,19980219,150.35
REL.IN,RELIANCE,3023127,19980223,19980220,152.7
REL.IN,RELIANCE,3023127,19980224,19980223,152.7
REL.IN,RELIANCE,3023127,19980225,19980224,157.15
REL.IN,RELIANCE,3023127,19980226,19980225,157.15
REL.IN,RELIANCE,3023127,19980227,19980226,160.2
REL.IN,RELIANCE,3023127,19980302,19980227,167.1
REL.IN,RELIANCE,3023127,19980303,19980302,167.1
REL.IN,RELIANCE,3023127,19980304,19980303,166.2
REL.IN,RELIANCE,3023127,19980305,19980304,166.2
REL.IN,RELIANCE,3023127,19980306,19980305,166.2
REL.IN,RELIANCE,3023127,19980309,19980306,180.8
REL.IN,RELIANCE,3023127,19980310,19980309,176.45
REL.IN,RELIANCE,3023127,19980311,19980310,172
REL.IN,RELIANCE,3023127,19980312,19980311,170.3
REL.IN,RELIANCE,3023127,19980316,19980312,176.35
REL.IN,RELIANCE,3023127,19980317,19980316,174.8
REL.IN,RELIANCE,3023127,19980318,19980317,178.75
REL.IN,RELIANCE,3023127,19980319,19980318,176.2
REL.IN,RELIANCE,3023127,19980320,19980319,177.35
REL.IN,RELIANCE,3023127,19980323,19980320,180.2
REL.IN,RELIANCE,3023127,19980324,19980323,178.7
REL.IN,RELIANCE,3023127,19980325,19980324,183.85
REL.IN,RELIANCE,3023127,19980326,19980325,179.45
REL.IN,RELIANCE,3023127,19980327,19980326,180.4
REL.IN,RELIANCE,3023127,19980330,19980327,177.3
REL.IN,RELIANCE,3023127,19980331,19980330,175
REL.IN,RELIANCE,3023127,19980401,19980331,182.85
REL.IN,RELIANCE,3023127,19980402,19980401,181.85
REL.IN,RELIANCE,3023127,19980403,19980402,184.95
REL.IN,RELIANCE,3023127,19980406,19980403,184.85
REL.IN,RELIANCE,3023127,19980407,19980406,185.35
REL.IN,RELIANCE,3023127,19980408,19980407,185.35
REL.IN,RELIANCE,3023127,19980409,19980408,199.45
REL.IN,RELIANCE,3023127,19980410,19980409,199.45
REL.IN,RELIANCE,3023127,19980413,19980410,189.2
REL.IN,RELIANCE,3023127,19980415,19980413,198.75
REL.IN,RELIANCE,3023127,19980416,19980415,194.95
REL.IN,RELIANCE,3023127,19980417,19980416,198.9
REL.IN,RELIANCE,3023127,19980420,19980417,197.8
REL.IN,RELIANCE,3023127,19980421,19980420,199.25
REL.IN,RELIANCE,3023127,19980422,19980421,198.05
REL.IN,RELIANCE,3023127,19980423,19980422,190.9
REL.IN,RELIANCE,3023127,19980424,19980423,191.6
REL.IN,RELIANCE,3023127,19980427,19980424,188.15
REL.IN,RELIANCE,3023127,19980428,19980427,185
REL.IN,RELIANCE,3023127,19980429,19980428,190.45
REL.IN,RELIANCE,3023127,19980430,19980429,190.45
REL.IN,RELIANCE,3023127,19980504,19980430,194.75
REL.IN,RELIANCE,3023127,19980505,19980504,194.75
REL.IN,RELIANCE,3023127,19980506,19980505,190.9
REL.IN,RELIANCE,3023127,19980508,19980506,190
REL.IN,RELIANCE,3023127,19980511,19980508,190.75
REL.IN,RELIANCE,3023127,19980512,19980511,185.35
REL.IN,RELIANCE,3023127,19980513,19980512,174.8
REL.IN,RELIANCE,3023127,19980514,19980513,178.7
REL.IN,RELIANCE,3023127,19980515,19980514,177.2
REL.IN,RELIANCE,3023127,19980518,19980515,179.15
REL.IN,RELIANCE,3023127,19980519,19980518,180.9
REL.IN,RELIANCE,3023127,19980520,19980519,183.2
REL.IN,RELIANCE,3023127,19980521,19980520,181
REL.IN,RELIANCE,3023127,19980522,19980521,181.85
REL.IN,RELIANCE,3023127,19980525,19980522,182.55
REL.IN,RELIANCE,3023127,19980526,19980525,181.85
REL.IN,RELIANCE,3023127,19980527,19980526,173.6
REL.IN,RELIANCE,3023127,19980528,19980527,166.3
REL.IN,RELIANCE,3023127,19980529,19980528,166.85
REL.IN,RELIANCE,3023127,19980601,19980529,165.25
REL.IN,RELIANCE,3023127,19980602,19980601,155.55
REL.IN,RELIANCE,3023127,19980603,19980602,165.8
REL.IN,RELIANCE,3023127,19980604,19980603,163.4
REL.IN,RELIANCE,3023127,19980605,19980604,158
REL.IN,RELIANCE,3023127,19980608,19980605,155.6
REL.IN,RELIANCE,3023127,19980609,19980608,154.8
REL.IN,RELIANCE,3023127,19980610,19980609,149.65
REL.IN,RELIANCE,3023127,19980611,19980610,151.7
REL.IN,RELIANCE,3023127,19980612,19980611,151.75
REL.IN,RELIANCE,3023127,19980615,19980612,145.7
REL.IN,RELIANCE,3023127,19980616,19980615,145
REL.IN,RELIANCE,3023127,19980617,19980616,153.6
REL.IN,RELIANCE,3023127,19980618,19980617,148.9
REL.IN,RELIANCE,3023127,19980619,19980618,142.05
REL.IN,RELIANCE,3023127,19980622,19980619,139.15
REL.IN,RELIANCE,3023127,19980623,19980622,139.25
